sample_id,L_entrench,C_entrench,Cul_share,Sem_dist,Map_corr,D_reg,D_trans,CA_score,CA_level
pilot_042,0.0017,0.0032,0.2,0.1253,0.2,0.042,0.1627,0.0963,1
pilot_043,0.025,0.1036,0.6,0.1236,0.4,0.1714,0.2618,0.2121,2
pilot_044,0.3749,0.6888,0.4,0.6191,0.2,0.5055,0.4095,0.4623,3
pilot_045,0.9173,0.6665,1.0,0.9257,0.4,0.8335,0.6628,0.7567,4
pilot_046,0.7276,0.1091,0.6,0.2246,0.2,0.4547,0.2123,0.3456,2
pilot_047,0.8401,0.8332,1.0,0.3368,0.2,0.8693,0.2684,0.5989,3
pilot_048,0.6381,0.3857,0.8,0.9539,0.8,0.5695,0.877,0.7079,4
pilot_049,0.9452,0.8825,0.4,0.8199,0.6,0.8111,0.71,0.7656,4
pilot_050,0.5362,0.1502,0.8,0.1903,0.6,0.4346,0.3952,0.4168,3
pilot_051,0.8882,0.8787,1.0,0.9645,1.0,0.9068,0.9822,0.9407,5
pilot_052,0.0813,0.0198,0.8,0.185,0.8,0.2004,0.4925,0.3319,2
pilot_053,0.5142,0.9103,0.4,0.569,0.4,0.6498,0.4845,0.5754,3
pilot_054,0.5617,0.8465,0.6,0.6903,0.8,0.6833,0.7452,0.7111,4
pilot_055,0.0786,0.9006,0.2,0.5012,0.6,0.4317,0.5506,0.4852,3
pilot_056,0.1352,0.3501,1.0,0.4317,0.8,0.3941,0.6158,0.4939,3
pilot_057,0.7739,0.9889,0.6,0.6535,0.2,0.8251,0.4268,0.6459,4
pilot_058,0.9735,0.3122,1.0,0.0698,0.2,0.7143,0.1349,0.4536,3
pilot_059,0.5088,0.8798,1.0,0.8185,1.0,0.7554,0.9092,0.8247,5
pilot_060,0.1488,0.3736,0.2,0.6034,0.8,0.249,0.7017,0.4527,3
pilot_061,0.9868,0.5248,1.0,0.7625,0.4,0.8046,0.5812,0.7041,4
pilot_062,0.6258,0.9413,0.2,0.4197,0.2,0.6668,0.3098,0.5062,3
pilot_063,0.8008,0.6087,1.0,0.3461,0.4,0.7638,0.373,0.588,3
pilot_064,0.2916,0.2004,0.6,0.7707,0.8,0.3168,0.7854,0.5276,3
pilot_065,0.6492,0.1071,0.2,0.2298,0.4,0.3425,0.3149,0.3301,2
pilot_066,0.1389,0.2034,0.8,0.7964,0.4,0.2969,0.5982,0.4325,3
pilot_067,0.9872,0.9913,0.4,0.7479,1.0,0.8714,0.874,0.8725,5
pilot_068,0.1034,0.4294,0.6,0.3496,0.6,0.3331,0.4748,0.3969,2
pilot_069,0.1532,0.1119,0.4,0.4281,0.2,0.186,0.314,0.2436,2
pilot_070,0.2233,0.4302,0.2,0.748,1.0,0.3014,0.874,0.5591,3
pilot_071,0.1791,0.3683,0.4,0.634,0.4,0.299,0.517,0.3971,2
pilot_072,0.878,0.8244,0.6,0.828,0.4,0.801,0.614,0.7168,4
pilot_073,0.6365,0.559,0.6,0.0358,0.2,0.5982,0.1179,0.3821,2
pilot_074,0.9116,0.2381,0.2,0.1827,0.4,0.4999,0.2914,0.406,3
pilot_075,0.5482,0.9532,0.2,0.8028,0.8,0.6406,0.8014,0.7129,4
pilot_076,0.8995,0.1433,0.2,0.0349,0.2,0.4571,0.1174,0.3043,2
pilot_077,0.8836,0.1806,0.6,0.4281,0.6,0.5457,0.514,0.5314,3
pilot_078,0.5005,0.8207,0.6,0.6634,1.0,0.6485,0.8317,0.7309,4
pilot_079,0.1019,0.3287,0.8,0.0398,0.2,0.3322,0.1199,0.2367,2
pilot_080,0.9164,0.5713,1.0,0.7215,0.8,0.7951,0.7608,0.7796,4
pilot_081,0.8785,0.9197,1.0,0.8155,1.0,0.9193,0.9078,0.9141,5
pilot_082,0.0039,0.5691,0.2,0.0956,0.4,0.2692,0.2478,0.2596,2
pilot_083,0.5317,0.0986,1.0,0.336,0.2,0.4521,0.268,0.3693,2
pilot_084,0.1233,0.0753,0.4,0.019,0.6,0.1594,0.3095,0.227,2
pilot_085,0.8384,0.3397,0.8,0.5148,1.0,0.6312,0.7574,0.688,4
pilot_086,0.7386,0.2995,0.4,0.0459,0.4,0.4952,0.223,0.3727,2
pilot_087,0.9925,0.5802,0.6,0.9299,1.0,0.7491,0.965,0.8462,5
pilot_088,0.8053,0.9297,1.0,0.8642,0.8,0.894,0.8321,0.8661,5
pilot_089,0.915,0.0211,0.4,0.7507,0.2,0.4544,0.4754,0.4638,3
pilot_090,0.4584,0.5043,0.8,0.7605,1.0,0.5451,0.8802,0.6959,4
pilot_091,0.498,0.5227,0.4,0.6353,0.8,0.4883,0.7176,0.5915,3
pilot_092,0.8764,0.6474,1.0,0.8136,0.2,0.8095,0.5068,0.6733,4
pilot_093,0.1944,0.8658,0.6,0.4254,0.4,0.5441,0.4127,0.485,3
pilot_094,0.3696,0.6112,0.6,0.4107,0.6,0.5123,0.5054,0.5092,3
pilot_095,0.4273,0.5376,0.2,0.2329,0.2,0.426,0.2164,0.3317,2
pilot_096,0.6311,0.9638,0.4,0.7004,0.4,0.718,0.5502,0.6425,4
pilot_097,0.5786,0.8263,0.8,0.966,0.4,0.722,0.683,0.7044,4
pilot_098,0.2488,0.3057,0.4,0.2849,0.8,0.3018,0.5424,0.4101,3
pilot_099,0.8037,0.2519,0.4,0.2829,0.8,0.5022,0.5414,0.5199,3
pilot_100,0.348,0.1593,0.4,0.6968,0.2,0.2829,0.4484,0.3574,2
pilot_101,0.6918,0.9012,0.8,0.4856,1.0,0.7972,0.7428,0.7727,4
pilot_102,0.4966,0.3342,0.4,0.3755,0.8,0.4123,0.5878,0.4913,3
pilot_103,0.4075,0.4676,0.2,0.5838,0.2,0.39,0.3919,0.3909,2
pilot_104,0.8275,0.575,0.4,0.4912,1.0,0.641,0.7456,0.6881,4
pilot_105,0.6354,0.4556,1.0,0.497,0.8,0.6364,0.6485,0.6418,4
pilot_106,0.7231,0.3776,0.8,0.6614,0.6,0.6003,0.6307,0.614,4
pilot_107,0.2195,0.8204,0.4,0.841,0.4,0.496,0.6205,0.552,3
pilot_108,0.3809,0.415,1.0,0.7566,0.6,0.5184,0.6783,0.5903,3
pilot_109,0.635,0.5967,1.0,0.9354,0.4,0.6927,0.6677,0.6814,4
pilot_110,0.5182,0.4496,0.6,0.7191,0.2,0.5071,0.4596,0.4857,3
pilot_111,0.236,0.1551,0.4,0.6219,0.4,0.2364,0.511,0.36,2
pilot_112,0.425,0.5375,0.4,0.8751,0.6,0.465,0.7375,0.5876,3
pilot_113,0.6957,0.2476,0.2,0.0022,0.4,0.4173,0.2011,0.32,2
pilot_114,0.9582,0.747,1.0,0.5009,0.4,0.8821,0.4504,0.6878,4
pilot_115,0.1958,0.773,1.0,0.1177,0.6,0.5875,0.3588,0.4846,3
pilot_116,0.8518,0.5308,0.6,0.1537,0.2,0.673,0.1768,0.4498,3
pilot_117,0.7052,0.0935,0.8,0.6182,0.8,0.4795,0.7091,0.5828,3
pilot_118,0.704,0.8478,0.8,0.1698,0.2,0.7807,0.1849,0.5126,3
pilot_119,0.1122,0.206,0.2,0.6945,0.4,0.1673,0.5472,0.3383,2
pilot_120,0.2492,0.6037,0.8,0.0926,1.0,0.5012,0.5463,0.5215,3
pilot_121,0.6524,0.7853,1.0,0.3104,0.8,0.7751,0.5552,0.6761,4
pilot_122,0.108,0.2945,0.4,0.8088,0.6,0.241,0.7044,0.4495,3
pilot_123,0.677,0.9237,0.4,0.3913,0.6,0.7203,0.4956,0.6192,4
pilot_124,0.9805,0.9882,1.0,0.9131,0.8,0.9875,0.8566,0.9286,5
pilot_125,0.5557,0.827,0.2,0.9399,0.8,0.5931,0.87,0.7177,4
pilot_126,0.3779,0.0059,0.2,0.4383,1.0,0.1935,0.7192,0.4301,3
pilot_127,0.8319,0.4522,0.2,0.86,1.0,0.5536,0.93,0.723,4
pilot_128,0.9869,0.9972,0.8,0.8043,0.8,0.9536,0.8022,0.8855,5
pilot_129,0.4544,0.4419,0.6,0.7051,0.4,0.4785,0.5526,0.5118,3
pilot_130,0.0046,0.135,0.2,0.4832,0.6,0.0958,0.5416,0.2964,2
pilot_131,0.1083,0.2477,1.0,0.4748,0.6,0.3424,0.5374,0.4302,3
pilot_132,0.2467,0.4477,0.2,0.6151,1.0,0.3178,0.8076,0.5382,3
pilot_133,0.5674,0.792,1.0,0.0998,1.0,0.7438,0.5499,0.6565,4
pilot_134,0.9739,0.9316,1.0,0.4721,0.8,0.9622,0.636,0.8154,5
pilot_135,0.3714,0.8479,0.6,0.8383,0.8,0.6077,0.8192,0.7029,4
pilot_136,0.0469,0.1111,0.2,0.0087,0.2,0.1032,0.1044,0.1037,1
pilot_137,0.4895,0.2966,0.8,0.7316,0.4,0.4744,0.5658,0.5156,3
pilot_138,0.8699,0.6869,0.6,0.6101,1.0,0.7427,0.805,0.7708,4
pilot_139,0.0891,0.6658,0.8,0.8735,0.8,0.462,0.8368,0.6306,4
pilot_140,0.3146,0.4512,0.2,0.7729,0.8,0.3463,0.7865,0.5444,3
pilot_141,0.525,0.344,1.0,0.2998,0.4,0.5476,0.3499,0.4586,3
pilot_142,0.9949,0.5767,1.0,0.9218,1.0,0.8286,0.9609,0.8882,5
pilot_143,0.6761,0.7283,0.8,0.7207,1.0,0.7218,0.8604,0.7841,4
pilot_144,0.9778,0.8811,1.0,0.5543,1.0,0.9436,0.7772,0.8687,5
pilot_145,0.2307,0.1616,1.0,0.4139,0.4,0.3569,0.407,0.3794,2
pilot_146,0.9708,0.9064,0.4,0.6235,0.8,0.8309,0.7118,0.7773,4
pilot_147,0.4986,0.8893,0.8,0.3413,0.6,0.7152,0.4706,0.6051,4
pilot_148,0.1802,0.0807,0.4,0.0067,0.2,0.1844,0.1034,0.1479,1
pilot_149,0.2689,0.0864,0.8,0.0636,0.8,0.3021,0.4318,0.3605,2
pilot_150,0.8902,0.8506,0.2,0.6064,1.0,0.7363,0.8032,0.7664,4
pilot_151,0.0702,0.0191,0.2,0.704,0.4,0.0757,0.552,0.29,2
pilot_152,0.5483,0.2182,0.4,0.0959,0.2,0.3866,0.148,0.2792,2
pilot_153,0.7312,0.5312,0.8,0.8924,0.8,0.665,0.8462,0.7465,4
pilot_154,0.3928,0.2068,0.4,0.7348,0.2,0.3198,0.4674,0.3862,2
pilot_155,0.5497,0.8185,0.6,0.213,0.8,0.6673,0.5065,0.5949,3
pilot_156,0.6061,0.4465,0.8,0.1222,0.8,0.581,0.4611,0.5271,3
pilot_157,0.9821,0.9199,1.0,0.7984,1.0,0.9608,0.8992,0.9331,5
pilot_158,0.6718,0.4573,0.4,0.7096,0.8,0.5316,0.7548,0.6321,4
pilot_159,0.9676,0.646,1.0,0.3699,1.0,0.8454,0.6849,0.7732,4
pilot_160,0.544,0.6829,0.8,0.8025,0.8,0.6508,0.8012,0.7185,4
pilot_161,0.8849,0.5019,0.6,0.6752,0.8,0.6747,0.7376,0.703,4
pilot_162,0.2521,0.458,0.6,0.6202,0.6,0.404,0.6101,0.4968,3
pilot_163,0.052,0.0785,0.2,0.5433,0.6,0.0922,0.5716,0.308,2
pilot_164,0.7048,0.4721,0.6,0.0541,0.8,0.5908,0.427,0.5171,3
pilot_165,0.8552,0.9083,1.0,0.8026,0.4,0.9054,0.6013,0.7686,4
pilot_166,0.3903,0.0349,0.6,0.9335,0.8,0.2901,0.8668,0.5496,3
pilot_167,0.4992,0.1966,0.4,0.4347,0.4,0.3583,0.4174,0.3849,2
pilot_168,0.3166,0.3824,0.6,0.6262,0.2,0.3996,0.4131,0.4057,3
pilot_169,0.2296,0.4115,0.8,0.9631,0.6,0.4164,0.7816,0.5807,3
pilot_170,0.932,0.6897,0.8,0.6671,0.8,0.8087,0.7336,0.7749,4
pilot_171,0.5589,0.7157,0.6,0.068,0.4,0.6298,0.234,0.4517,3
pilot_172,0.8601,0.2777,0.6,0.9954,0.8,0.5751,0.8977,0.7203,4
pilot_173,0.9348,0.5853,1.0,0.3533,0.6,0.808,0.4766,0.6589,4
pilot_174,0.6359,0.9414,0.6,0.9772,1.0,0.7509,0.9886,0.8579,5
pilot_175,0.58,0.832,1.0,0.9595,0.8,0.7648,0.8798,0.8165,5
pilot_176,0.2397,0.3264,0.6,0.306,0.6,0.3464,0.453,0.3944,2
pilot_177,0.8382,0.8517,1.0,0.8819,0.6,0.876,0.741,0.8152,5
pilot_178,0.9921,0.9219,0.8,0.4336,0.2,0.9256,0.3168,0.6516,4
pilot_179,0.443,0.061,0.2,0.4058,1.0,0.2416,0.7029,0.4492,3
pilot_180,0.1238,0.3786,0.2,0.099,0.4,0.241,0.2495,0.2448,2
pilot_181,0.9743,0.9857,1.0,0.9639,1.0,0.984,0.982,0.9831,5
pilot_182,0.1256,0.0724,0.2,0.0029,0.4,0.1192,0.2015,0.1562,1
pilot_183,0.0,0.1337,0.2,0.0878,0.2,0.0935,0.1439,0.1162,1
pilot_184,0.2419,0.3552,0.4,0.4005,0.8,0.3188,0.6003,0.4455,3
pilot_185,0.5583,0.5365,0.2,0.2044,0.6,0.4779,0.4022,0.4438,3
pilot_186,0.9954,0.8372,1.0,0.693,0.6,0.933,0.6465,0.8041,5
pilot_187,0.1003,0.3346,0.4,0.1905,0.6,0.254,0.3952,0.3175,2
pilot_188,0.9812,0.8415,1.0,0.9075,1.0,0.9291,0.9538,0.9402,5
pilot_189,0.0028,0.1703,0.2,0.2047,0.2,0.1092,0.2024,0.1511,1
pilot_190,0.9147,0.7749,1.0,0.9513,1.0,0.8758,0.9756,0.9208,5
pilot_191,0.0979,0.6501,0.4,0.0671,0.2,0.3792,0.1336,0.2687,2
pilot_192,0.8874,0.8931,1.0,0.1519,0.4,0.9122,0.276,0.6259,4
pilot_193,0.6556,0.4502,0.6,0.5748,0.4,0.5623,0.4874,0.5286,3
pilot_194,0.2529,0.4601,0.6,0.0422,1.0,0.4052,0.5211,0.4574,3
pilot_195,0.0211,0.179,0.4,0.1856,0.6,0.16,0.3928,0.2648,2
pilot_196,0.8693,0.2886,0.6,0.8115,0.8,0.5832,0.8058,0.6833,4
pilot_197,0.7172,0.5104,1.0,0.7676,0.8,0.691,0.7838,0.7328,4
pilot_198,0.2487,0.0531,0.6,0.9617,0.4,0.2407,0.6808,0.4388,3
pilot_199,0.3875,0.882,1.0,0.1268,1.0,0.7078,0.5634,0.6428,4
pilot_200,0.4468,0.441,1.0,0.8771,0.4,0.5551,0.6385,0.5927,3
pilot_201,0.1666,0.3791,0.8,0.4208,0.6,0.3783,0.5104,0.4377,3
pilot_202,0.6091,0.3664,0.2,0.4408,1.0,0.4302,0.7204,0.5608,3
pilot_203,0.6812,0.9383,1.0,0.6285,0.8,0.8478,0.7143,0.7877,4
pilot_204,0.6909,0.9066,0.6,0.0704,1.0,0.759,0.5352,0.6583,4
pilot_205,0.0617,0.0206,0.8,0.565,0.6,0.1929,0.5825,0.3682,2
pilot_206,0.1074,0.743,0.6,0.4932,1.0,0.4602,0.7466,0.5891,3
pilot_207,0.8658,0.4117,0.8,0.7904,0.2,0.671,0.4952,0.5919,3
pilot_208,0.0986,0.6199,0.8,0.3293,0.4,0.4474,0.3647,0.4102,3
pilot_209,0.9543,0.3398,1.0,0.7092,0.4,0.7176,0.5546,0.6443,4
pilot_210,0.9453,0.2497,0.4,0.4157,1.0,0.558,0.7078,0.6254,4
pilot_211,0.3561,0.1064,0.2,0.2737,0.6,0.225,0.4368,0.3203,2
pilot_212,0.5833,0.3782,1.0,0.982,1.0,0.5846,0.991,0.7675,4
pilot_213,0.853,0.5846,1.0,0.4094,0.2,0.775,0.3047,0.5634,3
pilot_214,0.9277,0.9237,0.8,0.8211,0.2,0.9006,0.5106,0.7251,4
pilot_215,0.0229,0.1172,0.2,0.811,0.4,0.096,0.6055,0.3253,2
pilot_216,0.7293,0.1627,0.6,0.7903,0.6,0.4768,0.6951,0.5751,3
pilot_217,0.1548,0.9136,1.0,0.2983,0.2,0.6274,0.2492,0.4572,3
pilot_218,0.2071,0.4788,0.4,0.5641,0.4,0.3544,0.482,0.4118,3
pilot_219,0.8595,0.7399,0.8,0.7067,1.0,0.7998,0.8534,0.8239,5
pilot_220,0.2114,0.427,0.4,0.1242,0.2,0.3354,0.1621,0.2574,2
pilot_221,0.4821,0.948,1.0,0.1242,0.2,0.772,0.1621,0.4976,3
pilot_222,0.8739,0.9683,0.8,0.8458,1.0,0.8969,0.9229,0.9086,5
pilot_223,0.1771,0.4072,0.4,0.538,0.4,0.3137,0.469,0.3836,2
pilot_224,0.5219,0.4566,0.2,0.4451,0.6,0.4314,0.5226,0.4724,3
pilot_225,0.9727,0.2008,1.0,0.5835,1.0,0.6694,0.7917,0.7245,4
pilot_226,0.6647,0.6163,0.8,0.4532,0.2,0.6724,0.3266,0.5168,3
pilot_227,0.1406,0.8361,0.2,0.3857,0.6,0.4307,0.4928,0.4587,3
pilot_228,0.9359,0.4476,1.0,0.8904,0.6,0.7534,0.7452,0.7497,4
pilot_229,0.3169,0.5996,0.2,0.1778,0.8,0.4066,0.4889,0.4436,3
pilot_230,0.3649,0.7593,0.4,0.0369,0.2,0.5297,0.1184,0.3446,2
pilot_231,0.8105,0.5767,0.4,0.4955,0.4,0.6349,0.4478,0.5507,3
pilot_232,0.0557,0.6389,0.8,0.2767,0.8,0.4378,0.5384,0.4831,3
pilot_233,0.1001,0.3609,0.6,0.6377,0.2,0.3044,0.4189,0.3559,2
pilot_234,0.2341,0.7329,0.4,0.369,0.6,0.4668,0.4845,0.4748,3
pilot_235,0.0611,0.0111,0.8,0.7372,0.6,0.1889,0.6686,0.4048,3
pilot_236,0.838,0.383,1.0,0.8667,1.0,0.6884,0.9334,0.7986,4
pilot_237,0.8394,0.8274,0.8,0.375,0.6,0.8267,0.4875,0.6741,4
pilot_238,0.3778,0.8948,0.6,0.3738,0.2,0.629,0.2869,0.4751,3
pilot_239,0.0939,0.1541,0.2,0.5575,0.4,0.1392,0.4788,0.292,2
pilot_240,0.5561,0.9769,1.0,0.6572,0.6,0.8132,0.6286,0.7301,4
pilot_241,0.2545,0.6156,0.2,0.8903,0.4,0.388,0.6452,0.5037,3
pilot_242,0.0746,0.1513,1.0,0.8771,0.4,0.2904,0.6385,0.447,3
pilot_243,0.6317,0.1452,0.2,0.1659,0.2,0.3508,0.183,0.2752,2
pilot_244,0.4958,0.0723,0.4,0.3853,0.2,0.3072,0.2926,0.3007,2
pilot_245,0.4273,0.4119,0.8,0.7391,0.8,0.4957,0.7696,0.6189,4
pilot_246,0.775,0.9079,0.8,0.5492,0.4,0.8332,0.4746,0.6718,4
pilot_247,0.0872,0.4288,0.2,0.4204,0.2,0.2464,0.3102,0.2751,2
pilot_248,0.5979,0.7307,0.4,0.4531,0.8,0.6114,0.6266,0.6182,4
pilot_249,0.0763,0.0544,0.2,0.8751,1.0,0.0923,0.9376,0.4727,3
pilot_250,0.9371,0.9003,1.0,0.683,0.8,0.935,0.7415,0.8479,5
pilot_251,0.1639,0.0078,0.4,0.1783,0.4,0.1487,0.2892,0.2119,2
pilot_252,0.0711,0.1988,0.2,0.318,0.6,0.148,0.459,0.2879,2
pilot_253,0.4091,0.5098,1.0,0.4575,0.6,0.5676,0.5288,0.5501,3
pilot_254,0.7547,0.6069,1.0,0.7185,0.4,0.7446,0.5592,0.6612,4
pilot_255,0.4812,0.0755,0.4,0.7088,1.0,0.3027,0.8544,0.551,3
pilot_256,0.1048,0.7394,0.8,0.0506,0.4,0.4977,0.2253,0.3751,2
pilot_257,0.7212,0.4463,0.2,0.6677,0.8,0.507,0.7338,0.6091,4
pilot_258,0.368,0.7426,0.8,0.8116,0.8,0.6042,0.8058,0.6949,4
pilot_259,0.7889,0.4185,0.6,0.1498,1.0,0.603,0.5749,0.5903,3
pilot_260,0.2914,0.4019,0.6,0.4367,0.4,0.3973,0.4184,0.4068,3
pilot_261,0.9592,0.7026,1.0,0.4932,0.8,0.8647,0.6466,0.7666,4
pilot_262,0.131,0.4692,0.2,0.831,0.6,0.2801,0.7155,0.476,3
pilot_263,0.6834,0.7759,0.8,0.0411,1.0,0.7437,0.5206,0.6433,4
pilot_264,0.1768,0.6106,0.6,0.8688,0.4,0.435,0.6344,0.5247,3
pilot_265,0.1515,0.2167,0.2,0.4471,0.8,0.1873,0.6236,0.3836,2
pilot_266,0.3149,0.7371,0.8,0.8417,1.0,0.5808,0.9208,0.7338,4
pilot_267,0.3699,0.3718,1.0,0.1965,0.4,0.4967,0.2982,0.4074,3
pilot_268,0.2692,0.4802,0.8,0.1895,0.2,0.4598,0.1948,0.3405,2
pilot_269,0.329,0.6234,1.0,0.998,1.0,0.581,0.999,0.7691,4
pilot_270,0.6764,0.9307,0.6,0.1591,0.6,0.7628,0.3796,0.5904,3
pilot_271,0.5863,0.13,0.8,0.1884,1.0,0.4465,0.5942,0.513,3
pilot_272,0.2241,0.1059,1.0,0.2631,0.2,0.332,0.2316,0.2868,2
pilot_273,0.5465,0.4479,0.8,0.6896,0.6,0.5578,0.6448,0.5969,3
pilot_274,0.9583,0.7628,1.0,0.7563,1.0,0.8884,0.8782,0.8838,5
pilot_275,0.1613,0.8784,0.8,0.3673,0.6,0.5759,0.4836,0.5344,3
pilot_276,0.2267,0.7004,1.0,0.1682,0.2,0.5708,0.1841,0.3968,2
pilot_277,0.3152,0.5497,0.2,0.8287,0.6,0.386,0.7144,0.5337,3
pilot_278,0.6113,0.9285,1.0,0.2967,0.2,0.8159,0.2484,0.5605,3
pilot_279,0.2416,0.5946,1.0,0.6292,0.8,0.5345,0.7146,0.6155,4
pilot_280,0.1432,0.0617,0.2,0.4549,0.4,0.122,0.4274,0.2594,2
pilot_281,0.3692,0.766,0.4,0.9713,0.4,0.5341,0.6857,0.6023,4
pilot_282,0.2405,0.0228,0.4,0.2756,0.6,0.1853,0.4378,0.2989,2
pilot_283,0.7213,0.8581,0.2,0.3563,0.4,0.6718,0.3782,0.5396,3
pilot_284,0.5886,0.8487,0.2,0.7494,1.0,0.6149,0.8747,0.7318,4
pilot_285,0.4671,0.9207,0.8,0.0002,0.2,0.7151,0.1001,0.4384,3
pilot_286,0.7034,0.5966,0.8,0.2889,1.0,0.68,0.6444,0.664,4
pilot_287,0.133,0.2743,0.2,0.5079,0.2,0.2029,0.354,0.2709,2
pilot_288,0.3929,0.2055,1.0,0.618,0.8,0.4394,0.709,0.5607,3
pilot_289,0.8836,0.9663,0.8,0.3359,0.8,0.9,0.568,0.7506,4
pilot_290,0.5744,0.9976,0.8,0.0209,1.0,0.7888,0.5104,0.6635,4
pilot_291,0.4691,0.479,0.4,0.1336,0.2,0.4592,0.1668,0.3276,2
pilot_292,0.1977,0.0943,0.8,0.4168,0.4,0.2768,0.4084,0.336,2
pilot_293,0.5214,0.8103,0.8,0.1637,0.8,0.6927,0.4818,0.5978,3
pilot_294,0.167,0.4167,0.8,0.3029,0.6,0.3935,0.4514,0.4196,3
pilot_295,0.8726,0.9169,0.8,0.8056,0.4,0.8758,0.6028,0.753,4
pilot_296,0.3549,0.0712,0.4,0.0079,0.2,0.2504,0.104,0.1845,1
pilot_297,0.8589,0.0491,0.2,0.0139,0.2,0.4032,0.107,0.2699,2
pilot_298,0.7363,0.7487,0.4,0.1769,0.2,0.674,0.1884,0.4555,3
pilot_299,0.5226,0.6523,0.6,0.3991,0.4,0.59,0.3996,0.5043,3
pilot_300,0.4706,0.5839,0.8,0.834,1.0,0.5818,0.917,0.7326,4
pilot_301,0.2512,0.3328,0.6,0.2771,0.8,0.3536,0.5386,0.4368,3
pilot_302,0.0621,0.1213,1.0,0.5564,0.2,0.2734,0.3782,0.3205,2
pilot_303,0.5849,0.0942,0.4,0.6866,0.6,0.3516,0.6433,0.4829,3
pilot_304,0.1638,0.2007,0.2,0.0252,0.2,0.1858,0.1126,0.1529,1
pilot_305,0.1675,0.9466,1.0,0.5313,0.8,0.6456,0.6657,0.6546,4
pilot_306,0.2512,0.3368,0.8,0.349,0.6,0.3952,0.4745,0.4309,3
